,year,neighborhood,sale_price_sqr_foot
381,2016,Central Sunset,581.3708750724594
382,2016,Cow Hollow,1059.0656015492618
383,2016,Croker Amazon,566.7011760342162
384,2016,Lower Pacific Heights,636.4307703489127
385,2016,Eureka Valley/Dolores Heights,1026.7911075237503
386,2016,Financial District North,
387,2016,Glen Park,945.5665024630542
388,2016,Haight Ashbury,531.8350322320708
389,2016,Hayes Valley,175.06606919629078
390,2016,Ingleside Heights,571.5799833446893
391,2016,Inner Mission,647.7704471840341
392,2016,Inner Parkside,518.1126504655916
393,2016,Inner Richmond,403.31113221139015
394,2016,Inner Sunset,445.9238282688497
395,2016,Excelsior,534.2262501283425
396,2016,Westwood Park,631.1954258724091
